Processos,Data,latitude,longitude
15620/2022,2022-06-07,-9.752468,-36.6577226
15757/2022,2022-06-07,-9.7344369,-36.6569053
16901/2022,2022-06-18,-9.7420203,-36.6633494
16200/2022,2022-06-08,,
16092/2022,2022-06-08,-9.7535003,-36.6486809
16207/2022,2022-06-08,-9.7535003,-36.6486809
16213/2022,2022-06-08,-9.7535003,-36.6486809
16224/2022,2022-06-08,-9.7535003,-36.6486809
16230/2022,2022-06-08,-9.7535003,-36.6486809
16234/2022,2022-06-08,-9.7535003,-36.6486809
16241/2022,2022-06-08,-9.7535003,-36.6486809
13688/2022,2022-06-06,-9.7531821,-36.6469946
13174/2022,2022-05-30,-9.7344398,-36.6568991
16360/2022,2022-06-10,-9.7519665,-36.6462358
23045/2022,2022-09-12,-9.7344158,-36.6570293
16732/2022,2022-07-05,-9.7258182,-36.6633493
18934/2022,2022-07-12,-9.7254545,-36.6633494
18623/2022,2022-07-11,-9.7254545,-36.6633494
21139/2022,2022-08-02,,
21462/2022,2022-08-11,-9.743948,-36.6633494
21453/2022,2022-08-11,-9.7344495,-36.6564641
22344/2022,2022-08-23,-9.7343625,-36.6569795
23011/2022,2022-09-08,-9.7343551,-36.6570029
22187/2022,2022-08-23,-9.7253273,-36.6633494
23376/2022,2022-09-21,-9.7253818,-36.6633494
23370/2022,2022-09-14,,
23179/2022,2022-09-05,,
23399/2022,2022-09-15,,
23604/2022,2022-09-26,-9.7255424,-36.6608384
23508/2022,2022-09-21,-9.7253273,-36.6633494
24188/2022,2022-10-13,-9.8210034,-36.6167252
24015/2022,2022-10-07,-9.7344067,-36.6569976
24094/2022,2022-10-10,-9.8210018,-36.6167231
24093/2022,2022-10-10,-9.8209975,-36.6167279
24186/2022,2022-10-13,-9.8210058,-36.6167208
24098/2022,2022-10-10,-9.8209952,-36.6167269
24191/2022,2022-10-13,-9.8210058,-36.6167208
24221/2022,2022-10-14,-9.7254727,-36.6633494
24249/2022,2022-10-18,-9.7343561,-36.6569708
24560/2022,2022-10-25,-9.7253273,-36.6633494
24561/2022,2022-10-25,-9.734346,-36.6569694
24563/2022,2022-10-25,-9.734346,-36.6569694
24608/2022,2022-10-26,-9.7253273,-36.6633494
24678/2022,2022-10-27,-9.7253273,-36.6633494
26086/2022,2022-12-13,-9.7253273,-36.6633494
26220/2022,2022-12-19,-9.7343471,-36.6569909
25375/2022,2022-11-18,-9.8210245,-36.6167288
24828/2022,2022-09-29,-9.7253273,-36.6633494
25044/2022,2022-11-08,-9.7375284,-36.6633493
26156/2022,2022-12-16,-9.743105604017316,-36.66355505822318
25053/2022,2022-11-08,-9.7343961,-36.657002
25392/2022,2022-11-21,-9.7830137,-36.6497929
25061/2022,2022-11-08,-9.7343545,-36.6569661
25168/2022,2022-11-10,-9.7253273,-36.6633494
25172/2022,2022-11-10,-9.7253273,-36.6633494
25454/2022,2022-11-21,-9.7343709,-36.6569655
25274/2022,2022-11-14,-9.8210242,-36.6167331
25285/2022,2022-11-17,-9.7601096,-36.6600176
25327/2022,2022-11-16,-9.8210267,-36.6167268
25328/2022,2022-11-16,-9.8210267,-36.6167268
26209/2022,2022-12-05,-9.7253273,-36.6633494
25611/2022,2022-11-29,-9.7779903,-36.6456785
25863/2022,2022-12-06,-9.7343464,-36.6569957
25893/2022,2002-12-05,-9.8209928,-36.6166919
25894/2022,2022-12-05,-9.8209924,-36.6166903
26033/2022,2022-12-14,-9.734331,-36.6569765
26211/2022,2022-12-19,-9.7253273,-36.6633494
26067/2022,2022-12-13,-9.7343669,-36.6570041
26505/2022,2022-12-28,-9.7343173,-36.6569803
26213/2022,2022-12-19,-9.7253273,-36.6633494
26221/2022,2022-12-19,-9.7343976,-36.6570258
26217/2022,2022-12-19,-9.7253273,-36.6633494
26313/2022,2022-12-21,-9.7253273,-36.6633494
26225/2022,2022-12-19,-9.7253273,-36.6633494
26311/2022,2022-12-21,-9.73432,-36.6569858
25718/2022,2022-12-15,-9.7253273,-36.6633494
26316/2022,2022-12-21,-9.7253273,-36.6633494
179/2023,2022-12-20,-9.7312,-36.6606
21973/2022,2022-12-12,-9.7253273,-36.6633494
178/2023,2022-12-20,-9.7312,-36.6606
180/2023,2022-12-20,-9.7312,-36.6606
181/2023,2022-12-20,-9.7312,-36.6606
182/2023,2022-12-20,-9.7312,-36.6606
183/2023,2022-12-20,-9.7312,-36.6606
184/2023,2022-12-20,-9.7312,-36.6606
252/2023,2023-01-09,-9.7343405,-36.6567539
280/2023,2023-01-09,-9.7342867,-36.6569537
26065/2022,2023-01-10,-9.7253273,-36.6633494
339/2023,2023-01-10,-9.7343373,-36.6569709
